"qPCR_tag","Target","Ct","SD","Median","Calibration","Cage","Bee_exp","Extraction","Sample_ID","diet","Condition"
"AKM1BC3","Sa",18.0904178619385,0.0924801321365619,18.0657653808594,"C2019","C","B","M","M1BC3","S","Sn"
"AKM2BC5","Sa",19.4310353597005,0.184626838399794,19.3761520385742,"C2019","C","B","M","M2BC5","S","Sn"
"AKM3BC7","Sa",20.0352700551351,0.0873549295116395,20.0204334259033,"C2019","C","B","M","M3BC7","S","Sn"
"AKM4BC8","Sa",19.0009695688883,0.135927343657285,18.9519748687744,"C2019","C","B","M","M4BC8","S","Sn"
"AKM5BC9","Sa",18.5051523844401,0.0630494364616997,18.5087356567383,"C2019","C","B","M","M5BC9","S","Sn"
"AKM6BD1","Sa",17.2198276519775,0.107395259465009,17.1662673950195,"C2019","D","B","M","M6BD1","P","Sn (P)"
"AKM7BD2","Sa",18.5949980417887,0.029217936812828,18.5921001434326,"C2019","D","B","M","M7BD2","P","Sn (P)"
"AKM8BD4","Sa",19.3476835886637,0.318754127924156,19.5111694335938,"C2019","D","B","M","M8BD4","P","Sn (P)"
"AKM9BD5","Sa",18.0171744028727,0.435404559864937,18.0180988311768,"C2019","D","B","M","M9BD5","P","Sn (P)"
"ALA11EF5","16S",15.064949353536,0.180989785746522,14.980429649353,"C2019","F","E","A","A11EF5","P","Sn/Gi (P)"
"ALA15EH9","16S",17.3768202463786,0.0268058701080852,17.3887062072754,"C2019","H","E","A","A15EH9","P","Gi (P)"
"ALA16EH4","16S",16.4270617167155,0.202470133797602,16.312744140625,"C2019","H","E","A","A16EH4","P","Gi (P)"
"ALA3EG6","16S",18.3082701365153,0.180117774436011,18.2801666259766,"C2019","G","E","A","A3EG6","S","Gi"
"ALA7EG1","16S",18.4378986358643,0.0252813574444701,18.4432334899902,"C2019","G","E","A","A7EG1","S","Gi"
"ALC11EE1","16S",16.7964204152425,0.297957929616914,16.631534576416,"C2019","E","E","C","C11EE1","S","Sn/Gi"
"ALC12EG9","16S",17.8245290120443,0.134042044872094,17.807243347168,"C2019","G","E","C","C12EG9","S","Gi"
"ALC13EH6","16S",15.1249389648438,0.0261620940552502,15.1118230819702,"C2019","H","E","C","C13EH6","P","Gi (P)"
"ALC16EF6","16S",16.1449693044027,0.0574976915928324,16.1734676361084,"C2019","F","E","C","C16EF6","P","Sn/Gi (P)"
"ALC2EG5","16S",17.461509068807,0.106479898189675,17.4818744659424,"C2019","G","E","C","C2EG5","S","Gi"
"ALC3EF10","16S",17.0855776468913,0.145119347952907,17.1137866973877,"C2019","F","E","C","C3EF10","P","Sn/Gi (P)"
"ALC4EE5","16S",15.2651294072469,0.0739818330507417,15.2724142074585,"C2019","E","E","C","C4EE5","S","Sn/Gi"
"ALC8EH15","16S",17.2378635406494,0.251481811874829,17.2090339660645,"C2019","H","E","C","C8EH15","P","Gi (P)"
"ALF18FH17","16S",17.7133108774821,0.0420746422739326,17.7208080291748,"C2019","H","F","F","F18FH17","P","Gi (P)"
"ALA11EF5","Sa",18.0050525665283,0.156362808925844,17.9803142547607,"C2019","F","E","A","A11EF5","P","Sn/Gi (P)"
"ALA15EH9","Sa",NA,0.226749963395472,34.2581558227539,"C2019","H","E","A","A15EH9","P","Gi (P)"
"ALA16EH4","Sa",NA,0.864223311565372,36.790153503418,"C2019","H","E","A","A16EH4","P","Gi (P)"
"ALA3EG6","Sa",NA,0.139698258200269,35.7735137939453,"C2019","G","E","A","A3EG6","S","Gi"
"ALA7EG1","Sa",NA,0.726762722632876,37.5126247406006,"C2019","G","E","A","A7EG1","S","Gi"
"ALC11EE1","Sa",18.1957918802897,0.207768687712826,18.2834644317627,"C2019","E","E","C","C11EE1","S","Sn/Gi"
"ALC12EG9","Sa",NA,0.252667996599293,35.5225086212158,"C2019","G","E","C","C12EG9","S","Gi"
"ALC13EH6","Sa",33.3930918375651,0.171525851234757,33.4215774536133,"C2019","H","E","C","C13EH6","P","Gi (P)"
"ALC16EF6","Sa",17.8315963745117,0.0463113532138252,17.8304595947266,"C2019","F","E","C","C16EF6","P","Sn/Gi (P)"
"ALC2EG5","Sa",NA,1.43893791523395,37.0002174377441,"C2019","G","E","C","C2EG5","S","Gi"
"ALC3EF10","Sa",18.7539768218994,0.104863327882492,18.7258892059326,"C2019","F","E","C","C3EF10","P","Sn/Gi (P)"
"ALC4EE5","Sa",16.6968167622884,0.141650303778239,16.7346134185791,"C2019","E","E","C","C4EE5","S","Sn/Gi"
"ALC8EH15","Sa",31.9241911570231,0.344238606181468,32.0115699768066,"C2019","H","E","C","C8EH15","P","Gi (P)"
"ALF18FH17","Sa",NA,0.033906296690044,37.1233825683594,"C2019","H","F","F","F18FH17","P","Gi (P)"
"AMG10EH3","16S",16.0366770426432,0.169611983976825,15.9623050689697,"C2019","H","E","G","G10EH3","P","Gi (P)"
"AMG11EG4","16S",16.8880767822266,0.0928208322421563,16.8931407928467,"C2019","G","E","G","G11EG4","S","Gi"
"AMG13EE7","16S",14.9580434163411,0.506342880234077,14.7384624481201,"C2019","E","E","G","G13EE7","S","Sn/Gi"
"AMG17EF4","16S",22.0665249824524,9.24752499982186,22.0665249824524,"C2019","F","E","G","G17EF4","P","Sn/Gi (P)"
"AMG18EF7","16S",15.9119494756063,0.168035986902744,15.9656267166138,"C2019","F","E","G","G18EF7","P","Sn/Gi (P)"
"AMG1EG7","16S",17.7304541269938,0.0873954460993681,17.7733821868896,"C2019","G","E","G","G1EG7","S","Gi"
"AMG7EG3","16S",17.8923244476318,0.098787821244948,17.8397216796875,"C2019","G","E","G","G7EG3","S","Gi"
